file	outcome	sheets	cells
poi/1_NoIden.xlsx	ok	1	33
poi/123233_charts.xlsx	ok	5	78
poi/45430.xlsx	ok	3	0
poi/45540_classic_Footer.xlsx	ok	7	1028
poi/45540_classic_Header.xlsx	ok	7	1028
poi/45540_form_Footer.xlsx	ok	1	982
poi/45540_form_Header.xlsx	ok	1	982
poi/45544.xlsx	ok	7	1024
poi/46535.xlsx	ok	5	8794
poi/46536.xlsx	ok	3	15
poi/47090.xlsx	ok	2	0
poi/47504.xlsx	ok	1	0
poi/47668.xlsx	ok	3	0
poi/47737.xlsx	ok	2	280
poi/47804.xlsx	ok	1	18
poi/47813.xlsx	ok	3	2164
poi/47862.xlsx	ok	3	5
poi/47889.xlsx	ok	3	14
poi/48495.xlsx	ok	1	27
poi/48539.xlsx	ok	3	282
poi/48703.xlsx	ok	4	15
poi/48779.xlsx	ok	3	1
poi/48923.xlsx	ok	3	5
poi/48962.xlsx	ok	1	94
poi/49156.xlsx	ok	1	1122
poi/49273.xlsx	ok	3	54
poi/49325.xlsx	ok	1	6
poi/49609.xlsx	ok	2	7644
poi/49783.xlsx	ok	3	3
poi/49872.xlsx	ok	3	12
poi/49928.xlsx	ok	3	1
poi/49966.xlsx	ok	3	5
poi/50096.xlsx	ok	3	600
poi/50299.xlsx	ok	16	722
poi/50755_workday_formula_example.xlsx	ok	1	8
poi/50784-font_theme_colours.xlsx	ok	3	2
poi/50786-indexed_colours.xlsx	ok	1	3
poi/50795.xlsx	ok	3	2
poi/50846-border_colours.xlsx	ok	3	2
poi/50867_with_table.xlsx	ok	3	9
poi/51222.xlsx	ok	3	7
poi/51470.xlsx	ok	1	0
poi/51519.xlsb	zuxlsx_unsupported_format_error	0	0
poi/51519.xlsx	ok	3	72
poi/51585.xlsx	ok	3	55981
poi/51626_contact.xlsx	ok	3	333
poi/51626.xlsx	ok	3	107
poi/51710.xlsx	ok	1	14287
poi/51850.xlsx	ok	2	8
poi/51963.xlsx	ok	1	2
poi/51998.xlsx	ok	9	6
